Submission ID,Submission time,Business / Service Category Selection,Name of Business / User,Phone,City / Nearby Village,Address,Business Details,Place ID,Ratings,Reviews,Verified,Webpage
,,AC & Fridge Repair,Bhagat Refriegeration,9427760306,Bhuj,,,,,,,
,,AC & Fridge Repair,My Choice Refrigeration,9879532327,Bhuj,"Mandalia St, nr. Pareshwer chock, opp. gardan, Old Dhatia Falia, Bhuj, Gujarat 370001",,,,,,
,,AC & Fridge Repair,Urmila Refrigeration,9824451774,Bhuj,,,,,,,
,,AC & Fridge Repair,Gayatri Refrigeration,9825199888,Bhuj,,Fridge,,,,,
,,AC & Fridge Repair,Lunai electronics&refrigeration,9825758132,Bhuj,,Ac fridge repairer,,,,,
,,AC & Fridge Repair,Mannubhai AC Repair,7065012902,Bhuj,,AC Repair,,,,,
,,AC & Fridge Repair,Vinesh AC Service and Ftting,084694 99388,Bhuj,"NEAR RASVATIKA HOTEL, 19A, near RASVATIKA HOTEL, Lions Nagar, Navavas, Madhapar, Bhuj, Gujarat 370020, India",,ChIJ_9z41XHhUDkRjjUqR19uIPA,,,,
cf264bb8-b53f-4ada-b2b7-434e9ff9a071,2026-05-24 08:56:44,AC & Fridge Repair,Jinal air conditioner and refrigeration,9924385532,Bhuj,Bhuj,Ac fiting. Sarvice and repering. Ref repering and sarvice. micro oven repair.tv repair.washing machine repair ,,,,,
d44fd3ba-1c7e-4082-b709-f3c6a9b25cf3,2026-05-24 09:14:26,AC & Fridge Repair,Jinal air conditioning and refrigeration ,9924385532,Bhuj,Bhuj,Ac. Rf. Wm.tv . Micro ovan all products repering ,,,,,
7ded42e0-87de-4e4c-8be0-872952ac78a6,2026-05-24 09:20:58,AC & Fridge Repair,Jinal Air Conditioner and refrigeration ,9924385532,Bhuj,Bhuj,We are providing services for all type of AC service and refrigeration services ,,,,,
ff3115f3-13a1-4d9d-8853-c0cd38f575ea,2026-05-24 11:57:28,AC & Fridge Repair,Jinal air conditioning and refrigeration sales and service ,9924385532,Bhuj,"Clg Rd, Bhuj","Air conditioner & Refrigeration Repairing, Selling & Services",,,,,
,,Accounting Services,Deepak Pandya,9879014145,Bhuj,"bankers colony, bhuj","Accounting , GST Return , IT Return, employee provident fund (EPFO), J form for geology and mining",,,,,
